#options: 1080x1920 fps=120/1 timebase=1/120 bitdepth=8 cabac=1 ref=1 deblock=1:0:0 analyse=0x1:0 me=dia subme=2 psy=1 psy_rd=1.00:0.00 mixed_ref=0 me_range=16 chroma_me=1 trellis=0 8x8dct=0 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=0 threads=18 lookahead_threads=6 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=3 b_pyramid=2 b_adapt=1 b_bias=0 direct=1 weightb=1 open_gop=0 weightp=2 keyint=250 keyint_min=25 scenecut=40 intra_refresh=0 rc_lookahead=40 rc=abr mbtree=1 bitrate=1254 ratetol=1.0 qcomp=0.60 qpmin=0 qpmax=69 qpstep=4 ip_ratio=1.40 aq=1:1.00
in:129 out:131 type:b dur:8 cpbdur:8 q:34.52 aq:23.44 tex:451 mv:1854 misc:1759 imb:17 pmb:273 smb:7870 d:- ref:0 ;
in:131 out:132 type:b dur:8 cpbdur:8 q:34.31 aq:21.82 tex:1054 mv:2810 misc:2192 imb:52 pmb:330 smb:7778 d:- ref:0 ;
in:136 out:133 type:P dur:8 cpbdur:8 q:33.99 aq:23.76 tex:53319 mv:21381 misc:6724 imb:1567 pmb:1745 smb:4848 d:- ref:0 ;
in:134 out:134 type:B dur:8 cpbdur:8 q:34.10 aq:23.50 tex:5120 mv:9783 misc:4737 imb:212 pmb:988 smb:6960 d:- ref:0 ;
in:133 out:135 type:b dur:8 cpbdur:8 q:34.16 aq:22.33 tex:1406 mv:4799 misc:2763 imb:101 pmb:443 smb:7616 d:- ref:0 ;
in:135 out:136 type:b dur:8 cpbdur:8 q:34.05 aq:23.80 tex:1497 mv:3065 misc:2110 imb:43 pmb:332 smb:7785 d:- ref:0 ;
in:140 out:137 type:P dur:8 cpbdur:8 q:33.85 aq:23.78 tex:27872 mv:13532 misc:5932 imb:651 pmb:1430 smb:6079 d:- ref:0 ;
in:138 out:138 type:B dur:8 cpbdur:8 q:33.92 aq:22.44 tex:3141 mv:5582 misc:3573 imb:128 pmb:617 smb:7415 d:- ref:0 ;
in:137 out:139 type:b dur:8 cpbdur:8 q:33.96 aq:22.75 tex:953 mv:1961 misc:1854 imb:47 pmb:227 smb:7886 d:- ref:0 ;
in:139 out:140 type:b dur:8 cpbdur:8 q:33.88 aq:22.43 tex:549 mv:1121 misc:1314 imb:17 pmb:158 smb:7985 d:- ref:0 ;
in:144 out:141 type:P dur:8 cpbdur:8 q:33.68 aq:24.84 tex:36317 mv:12445 misc:5318 imb:525 pmb:1514 smb:6121 d:- ref:0 ;
in:142 out:142 type:B dur:8 cpbdur:8 q:33.76 aq:22.98 tex:2857 mv:4495 misc:3288 imb:118 pmb:553 smb:7489 d:- ref:0 ;
in:141 out:143 type:b dur:8 cpbdur:8 q:33.80 aq:22.82 tex:902 mv:1322 misc:1536 imb:26 pmb:186 smb:7948 d:- ref:0 ;
in:143 out:144 type:b dur:8 cpbdur:8 q:33.72 aq:22.75 tex:879 mv:882 misc:1199 imb:41 pmb:107 smb:8012 d:- ref:0 ;
in:148 out:145 type:P dur:8 cpbdur:8 q:33.49 aq:24.30 tex:20053 mv:10518 misc:5293 imb:421 pmb:1214 smb:6525 d:- ref:0 ;
in:146 out:146 type:B dur:8 cpbdur:8 q:33.59 aq:24.06 tex:2470 mv:4200 misc:3106 imb:95 pmb:536 smb:7529 d:- ref:0 ;
